district,district_hindi,district_nukta_hindi,district_english,district_transliteration,block,block_hindi,block_nukta_hindi,block_english,block_transliteration,gram_panchayat,gram_panchayat_english,village,village_english,composite_key,source_file,source_row_index
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Badwahi,Badwahi,Badwahi,Badwahi,mnendrgdh-chirmirii-bhrtpur|bhrtpur|badwahi|badwahi,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,0
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Mehdauli,Mehdauli,Barchha,Barchha,mnendrgdh-chirmirii-bhrtpur|bhrtpur|mehdauli|barchha,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,39
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Mehdauli,Mehdauli,Satkyari,Satkyari,mnendrgdh-chirmirii-bhrtpur|bhrtpur|mehdauli|satkyari,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,58
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Mehdauli,Mehdauli,Mehdauli,Mehdauli,mnendrgdh-chirmirii-bhrtpur|bhrtpur|mehdauli|mehdauli,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,76
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Harchoka,Harchoka,Ghughari,Ghughari,mnendrgdh-chirmirii-bhrtpur|bhrtpur|harchoka|ghughari,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,123
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Bela,Bela,Bela,Bela,mnendrgdh-chirmirii-bhrtpur|bhrtpur|bela|bela,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,124
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Madisarai,Madisarai,Madisarai,Madisarai,mnendrgdh-chirmirii-bhrtpur|bhrtpur|madisarai|madisarai,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,186
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Harchoka,Harchoka,Harchoka,Harchoka,mnendrgdh-chirmirii-bhrtpur|bhrtpur|harchoka|harchoka,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,257
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Karri,Karri,Karri,Karri,mnendrgdh-chirmirii-bhrtpur|bhrtpur|karri|karri,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,280
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Chidaula,Chidaula,Chidaula,Chidaula,mnendrgdh-chirmirii-bhrtpur|bhrtpur|chidaula|chidaula,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,308
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Poonji,Poonji,Chhirhatola,Chhirhatola,mnendrgdh-chirmirii-bhrtpur|bhrtpur|poonji|chhirhatola,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,357
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Udaki,Udaki,Udaki,Udaki,mnendrgdh-chirmirii-bhrtpur|bhrtpur|udaki|udaki,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,362
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Karri,Karri,Jawaritola,Jawaritola,mnendrgdh-chirmirii-bhrtpur|bhrtpur|karri|jawaritola,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,413
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Poonji,Poonji,Poonji,Poonji,mnendrgdh-chirmirii-bhrtpur|bhrtpur|poonji|poonji,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,421
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Janua,Janua,Markhohi,Markhohi,mnendrgdh-chirmirii-bhrtpur|bhrtpur|janua|markhohi,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,459
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Janua,Janua,Padauli,Padauli,mnendrgdh-chirmirii-bhrtpur|bhrtpur|janua|padauli,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,475
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Janua,Janua,Janua,Janua,mnendrgdh-chirmirii-bhrtpur|bhrtpur|janua|janua,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,479
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Devgarh,Devgarh,Deogarh,Deogarh,mnendrgdh-chirmirii-bhrtpur|bhrtpur|devgarh|deogarh,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,563
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Harchoka,Harchoka,Ghordhara,Ghordhara,mnendrgdh-chirmirii-bhrtpur|bhrtpur|harchoka|ghordhara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,655
मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ़-चिरमिरी-भरतपुर,मनेंद्रगढ-चिरमिरी-भरतपुर,mnendrgdh-chirmirii-bhrtpur,mnendrgdh-chirmirii-bhrtpur,भरतपुर,भरतपुर,भरतपुर,bhrtpur,bhrtpur,Charkhar,Charkhar,Charkhar,Charkhar,mnendrgdh-chirmirii-bhrtpur|bhrtpur|charkhar|charkhar,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,663
